iter	Passed	Remaining
0	1	1579
1	2	1454
2	3	1324
3	5	1325
4	7	1395
5	8	1373
6	9	1325
7	10	1300
8	11	1300
9	13	1351
10	14	1339
11	16	1323
12	17	1303
13	18	1320
14	20	1323
15	21	1312
16	22	1301
17	23	1309
18	25	1301
19	26	1299
20	27	1295
21	29	1290
22	30	1287
23	31	1294
24	33	1293
25	34	1282
26	35	1270
27	36	1269
28	37	1264
29	38	1257
30	40	1253
31	41	1243
32	42	1233
33	43	1238
34	44	1233
35	45	1228
36	46	1222
37	48	1217
38	54	1337
39	56	1345
40	57	1342
41	58	1339
42	59	1331
43	60	1321
44	62	1318
45	63	1312
46	65	1319
47	66	1312
48	67	1303
49	68	1302
50	69	1299
51	71	1299
52	72	1293
53	73	1286
54	75	1297
55	77	1299
56	78	1293
57	79	1286
58	80	1281
59	83	1302
60	84	1300
61	85	1294
62	87	1296
63	88	1294
64	89	1290
65	90	1285
66	92	1281
67	93	1283
68	95	1289
69	96	1288
70	98	1284
71	99	1283
72	100	1282
73	102	1277
74	103	1273
75	104	1268
76	105	1269
77	107	1274
78	109	1271
79	110	1269
80	111	1268
81	113	1266
82	113	1256
83	115	1254
84	116	1252
85	117	1250
86	119	1250
87	120	1250
88	121	1247
89	123	1245
90	124	1245
91	126	1245
92	127	1242
93	128	1238
94	129	1233
95	131	1234
96	133	1238
97	134	1235
98	135	1231
99	136	1232
100	138	1231
101	139	1228
102	140	1225
103	141	1223
104	143	1223
105	145	1227
106	146	1224
107	147	1222
108	149	1222
109	151	1225
110	152	1220
111	153	1215
112	154	1210
113	155	1207
114	156	1203
115	157	1200
116	158	1195
117	159	1190
118	160	1185
119	161	1181
120	162	1177
121	162	1170
122	163	1165
123	164	1160
124	165	1157
125	166	1152
126	167	1148
127	167	1143
128	168	1138
129	169	1133
130	169	1127
131	170	1121
132	171	1116
133	171	1110
134	172	1105
135	173	1101
136	174	1096
137	174	1092
138	175	1087
139	176	1082
140	176	1077
141	177	1070
142	177	1065
143	178	1060
144	179	1057
145	180	1054
146	181	1050
147	181	1045
148	182	1041
149	183	1037
150	183	1032
151	184	1029
152	185	1025
153	186	1021
154	186	1017
155	187	1013
156	188	1009
157	188	1005
158	189	1001
159	189	997
160	190	991
161	190	987
162	191	984
163	192	981
164	193	978
165	194	974
166	194	971
167	195	967
168	196	964
169	196	960
170	197	956
171	198	953
172	198	950
173	199	948
174	200	945
175	201	941
176	201	937
177	202	933
178	202	929
179	203	925
180	204	923
181	204	919
182	205	917
183	206	913
184	206	910
185	207	907
186	207	903
187	208	900
188	208	896
189	209	893
190	210	891
191	211	888
192	211	885
193	212	882
194	213	880
195	213	877
196	214	874
197	214	870
198	215	867
199	216	865
200	217	863
201	217	860
202	218	857
203	219	854
204	219	851
205	220	848
206	220	845
207	221	842
208	222	840
209	222	838
210	224	840
211	225	837
212	225	834
213	226	832
214	227	829
215	227	826
216	228	823
217	228	821
218	229	819
219	230	817
220	231	814
221	231	812
222	232	810
223	233	807
224	233	805
225	234	803
226	235	802
227	236	799
228	236	797
229	237	795
230	238	793
231	238	790
232	239	788
233	239	785
234	240	783
235	241	781
236	242	779
237	242	777
238	243	775
239	244	772
240	244	770
241	245	767
242	245	765
243	246	762
244	246	760
245	247	758
246	248	757
247	249	756
248	250	754
249	250	752
250	251	749
251	251	747
252	252	744
253	252	742
254	253	740
255	254	739
256	255	737
257	255	735
258	256	733
259	257	731
260	257	729
261	258	727
262	259	726
263	259	724
264	260	722
265	261	720
266	261	718
267	262	717
268	263	715
269	263	713
270	264	711
271	265	709
272	265	708
273	266	706
274	267	706
275	268	704
276	269	702
277	269	700
278	270	698
279	271	697
280	271	695
281	272	694
282	273	692
283	274	691
284	274	689
285	275	687
286	276	685
287	276	683
288	277	682
289	278	681
290	279	679
291	279	678
292	280	676
293	281	674
294	281	672
295	282	670
296	282	669
297	283	667
298	283	665
299	284	664
300	285	663
301	286	661
302	287	660
303	287	658
304	288	656
305	288	654
306	289	653
307	290	651
308	291	650
309	291	649
310	292	648
311	293	646
312	293	644
313	294	642
314	294	641
315	295	639
316	296	637
317	296	636
318	297	635
319	298	633
320	298	632
321	299	630
322	299	628
323	300	627
324	301	625
325	301	623
326	302	621
327	302	620
328	303	619
329	304	618
330	305	617
331	305	615
332	306	614
333	307	612
334	307	611
335	308	610
336	309	609
337	310	607
338	311	606
339	311	605
340	312	603
341	312	602
342	313	600
343	314	598
344	314	597
345	315	596
346	316	595
347	316	593
348	317	592
349	317	590
350	318	588
351	319	587
352	319	585
353	320	584
354	320	582
355	321	581
356	322	580
357	322	578
358	323	577
359	324	576
360	324	574
361	325	573
362	325	571
363	326	570
364	326	568
365	327	567
366	328	566
367	328	564
368	329	563
369	330	562
370	330	560
371	331	559
372	331	557
373	332	556
374	332	554
375	333	553
376	334	552
377	334	550
378	335	549
379	335	548
380	336	546
381	337	545
382	337	544
383	338	542
384	338	541
385	339	539
386	340	539
387	341	537
388	341	536
389	342	535
390	342	533
391	343	532
392	343	531
393	344	529
394	344	528
395	345	527
396	346	526
397	347	525
398	347	524
399	348	522
400	349	521
401	349	520
402	350	519
403	350	517
404	351	516
405	352	515
406	352	514
407	353	513
408	354	512
409	355	510
410	355	509
411	356	508
412	356	506
413	357	505
414	357	504
415	358	503
416	359	502
417	360	501
418	360	500
419	361	499
420	362	497
421	362	496
422	363	495
423	363	494
424	364	493
425	365	492
426	365	490
427	366	489
428	366	488
429	367	487
430	368	485
431	368	484
432	369	483
433	369	482
434	370	481
435	371	480
436	371	479
437	372	477
438	373	476
439	373	475
440	374	474
441	375	473
442	375	472
443	376	471
444	377	470
445	377	469
446	378	468
447	379	467
448	379	465
449	380	464
450	380	463
451	381	462
452	381	460
453	382	459
454	383	458
455	384	458
456	384	457
457	385	456
458	386	454
459	386	453
460	387	452
461	387	451
462	388	450
463	389	449
464	389	448
465	390	447
466	390	446
467	391	445
468	392	443
469	392	442
470	393	441
471	393	440
472	394	439
473	395	438
474	395	437
475	396	436
476	397	435
477	397	434
478	398	433
479	398	432
480	399	431
481	400	430
482	401	429
483	401	428
484	402	427
485	402	426
486	403	425
487	404	423
488	404	422
489	405	421
490	405	420
491	406	419
492	407	418
493	407	417
494	408	416
495	409	415
496	409	414
497	410	413
498	410	412
499	411	411
500	411	410
501	412	409
502	413	408
503	413	407
504	414	406
505	415	405
506	415	404
507	416	403
508	416	402
509	417	401
510	418	400
511	418	398
512	419	398
513	420	397
514	420	396
515	421	395
516	422	394
517	422	393
518	423	392
519	423	391
520	424	390
521	424	389
522	425	388
523	426	387
524	426	386
525	427	385
526	428	384
527	428	383
528	429	382
529	430	381
530	430	380
531	431	379
532	432	378
533	433	378
534	434	377
535	434	376
536	435	375
537	436	374
538	436	373
539	438	373
540	440	373
541	441	373
542	442	372
543	443	371
544	444	371
545	445	370
546	446	369
547	447	368
548	447	368
549	448	367
550	449	366
551	450	365
552	451	365
553	452	364
554	453	363
555	454	362
556	454	361
557	455	360
558	456	359
559	457	359
560	458	358
561	458	357
562	459	356
563	460	355
564	460	354
565	461	353
566	462	352
567	463	352
568	463	351
569	464	350
570	465	349
571	465	348
572	466	347
573	467	346
574	467	345
575	468	344
576	469	344
577	470	343
578	470	342
579	471	341
580	472	340
581	472	339
582	473	338
583	474	337
584	475	337
585	476	336
586	476	335
587	477	334
588	478	333
589	479	332
590	479	332
591	480	331
592	481	330
593	482	329
594	482	328
595	483	327
596	484	327
597	485	326
598	486	325
599	486	324
600	487	323
601	488	322
602	488	321
603	489	320
604	490	320
605	490	319
606	491	318
607	492	317
608	492	316
609	493	315
610	494	314
611	495	313
612	495	313
613	496	312
614	497	311
615	497	310
616	498	309
617	498	308
618	499	307
619	500	306
620	501	305
621	501	305
622	502	304
623	503	303
624	503	302
625	504	301
626	505	300
627	505	299
628	506	298
629	507	297
630	508	297
631	508	296
632	509	295
633	510	294
634	510	293
635	511	292
636	512	291
637	513	291
638	513	290
639	514	289
640	515	288
641	515	287
642	516	286
643	516	285
644	517	284
645	518	284
646	519	283
647	519	282
648	520	281
649	522	281
650	522	280
651	523	279
652	523	278
653	524	277
654	525	276
655	526	275
656	526	275
657	527	274
658	528	273
659	528	272
660	529	271
661	529	270
662	530	269
663	531	268
664	532	268
665	532	267
666	533	266
667	534	265
668	534	264
669	535	263
670	535	262
671	536	261
672	537	261
673	538	260
674	538	259
675	539	258
676	540	257
677	541	256
678	541	256
679	542	255
680	543	254
681	543	253
682	545	253
683	546	252
684	546	251
685	547	250
686	547	249
687	548	248
688	549	247
689	550	247
690	550	246
691	551	245
692	552	244
693	552	243
694	553	242
695	553	241
696	554	241
697	555	240
698	555	239
699	556	238
700	557	237
701	557	236
702	558	235
703	559	235
704	559	234
705	560	233
706	560	232
707	561	231
708	562	230
709	562	229
710	563	229
711	564	228
712	564	227
713	565	226
714	566	225
715	566	224
716	567	223
717	567	223
718	568	222
719	569	221
720	570	220
721	570	219
722	571	218
723	571	218
724	572	217
725	572	216
726	573	215
727	574	214
728	575	213
729	575	212
730	576	212
731	576	211
732	577	210
733	577	209
734	578	208
735	579	207
736	579	206
737	580	206
738	581	205
739	582	204
740	582	203
741	583	202
742	583	201
743	584	201
744	585	200
745	585	199
746	586	198
747	587	197
748	588	197
749	589	196
750	589	195
751	590	194
752	590	193
753	591	192
754	592	192
755	592	191
756	593	190
757	594	189
758	594	188
759	595	188
760	596	187
761	596	186
762	597	185
763	597	184
764	598	183
765	598	182
766	599	182
767	600	181
768	600	180
769	601	179
770	602	178
771	602	178
772	603	177
773	604	176
774	604	175
775	605	174
776	606	174
777	606	173
778	607	172
779	608	171
780	608	170
781	609	169
782	610	169
783	610	168
784	611	167
785	612	166
786	612	165
787	613	164
788	613	164
789	614	163
790	615	162
791	615	161
792	616	160
793	617	160
794	617	159
795	618	158
796	619	157
797	620	156
798	620	156
799	621	155
800	621	154
801	622	153
802	622	152
803	623	152
804	624	151
805	624	150
806	625	149
807	626	148
808	626	147
809	627	147
810	627	146
811	628	145
812	628	144
813	629	143
814	630	143
815	630	142
816	631	141
817	632	140
818	632	139
819	633	139
820	633	138
821	634	137
822	635	136
823	635	135
824	636	134
825	637	134
826	637	133
827	638	132
828	638	131
829	639	130
830	640	130
831	640	129
832	641	128
833	641	127
834	642	126
835	643	126
836	644	125
837	644	124
838	645	123
839	645	123
840	646	122
841	646	121
842	647	120
843	648	119
844	649	119
845	649	118
846	650	117
847	650	116
848	651	115
849	652	115
850	652	114
851	653	113
852	653	112
853	654	111
854	655	111
855	655	110
856	656	109
857	657	108
858	657	107
859	658	107
860	658	106
861	659	105
862	659	104
863	660	104
864	661	103
865	662	102
866	662	101
867	663	100
868	663	100
869	664	99
870	664	98
871	665	97
872	666	96
873	666	96
874	667	95
875	668	94
876	668	93
877	669	93
878	670	92
879	670	91
880	671	90
881	671	89
882	672	89
883	673	88
884	673	87
885	674	86
886	674	85
887	675	85
888	676	84
889	676	83
890	677	82
891	677	82
892	678	81
893	679	80
894	679	79
895	680	78
896	681	78
897	681	77
898	682	76
899	683	75
900	683	75
901	684	74
902	685	73
903	685	72
904	686	72
905	687	71
906	687	70
907	688	69
908	688	68
909	689	68
910	690	67
911	690	66
912	691	65
913	692	65
914	692	64
915	693	63
916	693	62
917	694	62
918	695	61
919	695	60
920	696	59
921	696	58
922	697	58
923	698	57
924	698	56
925	699	55
926	700	55
927	700	54
928	701	53
929	701	52
930	702	52
931	702	51
932	703	50
933	704	49
934	705	49
935	705	48
936	706	47
937	707	46
938	707	45
939	708	45
940	708	44
941	709	43
942	710	42
943	710	42
944	711	41
945	712	40
946	712	39
947	713	39
948	713	38
949	714	37
950	715	36
951	715	36
952	716	35
953	717	34
954	717	33
955	718	33
956	718	32
957	719	31
958	719	30
959	720	30
960	721	29
961	721	28
962	722	27
963	723	27
964	723	26
965	724	25
966	725	24
967	725	23
968	726	23
969	726	22
970	727	21
971	727	20
972	728	20
973	729	19
974	730	18
975	730	17
976	731	17
977	731	16
978	732	15
979	732	14
980	733	14
981	734	13
982	734	12
983	735	11
984	736	11
985	736	10
986	737	9
987	737	8
988	738	8
989	739	7
990	739	6
991	740	5
992	740	5
993	741	4
994	742	3
995	742	2
996	743	2
997	744	1
998	744	0
999	745	0
